SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:false, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:true, TITLE_TIME:true, SKIP_TRACK:true, PROGRESS:true, CLEAR_PLAYLIST:true, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:true, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:true, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:true, PROGRESS_BAR:true, VOLUME_CONTROL:true, REMOVE_TRACK:true, LIGHT:true, DARK:false, SHUFFLE_REPEAT:false, SHOW_COVER:true, OGG:true, MP3:true, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:true, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:false, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:true, DARK:false, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:true, TITLE_TIME:false, SKIP_TRACK:true, PROGRESS:true, CLEAR_PLAYLIST:true, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:true, LIGHT:true, DARK:false, SHUFFLE_REPEAT:false, SHOW_COVER:true, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:true, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:false, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:true, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:false, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:true, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:true, TITLE_TIME:false, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:true, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:true, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:true, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:false, VOLUME_CONTROL:false, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:true, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:true, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:true, LIGHT:true, DARK:false, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:false, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:true, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:false, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:false, TITLE_TIME:false, SKIP_TRACK:true, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:false, LIGHT:true, DARK:false, SHUFFLE_REPEAT:true, SHOW_COVER:false, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:true, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:false, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:false, LIGHT:true, DARK:false, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:false, REORDER_PLAYLIST:false, TITLE_TIME:false, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:false, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:false, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:true, REMOVE_TRACK:true, LIGHT:true, DARK:false, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:true, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:false, TITLE_TIME:false, SKIP_TRACK:true, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:true, REMOVE_TRACK:true, LIGHT:false, DARK:true, SHUFFLE_REPEAT:false, SHOW_COVER:false, OGG:true, MP3:false, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:false, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:false, TITLE_TIME:true, SKIP_TRACK:false, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:false, REMOVE_TRACK:false, LIGHT:true, DARK:false, SHUFFLE_REPEAT:true, SHOW_COVER:false, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:false, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:true, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:false, ID3_TITLE:true, PLAYLIST:true, 
SKINS:true, PLAYER_CONTROL:true, REORDER_PLAYLIST:true, TITLE_TIME:false, SKIP_TRACK:true, PROGRESS:true, CLEAR_PLAYLIST:false, PROGRESS_BAR:true, VOLUME_CONTROL:true, REMOVE_TRACK:false, LIGHT:true, DARK:false, SHUFFLE_REPEAT:true, SHOW_COVER:false, OGG:false, MP3:true, SAVE_LOAD_PLAYLIST:true, BASE_FEATUREAMP:true, LOAD_FOLDER:true, QUEUE_TRACK:true, FILE_SUPPORT:true, PLAYER_BAR:true, MUTE:true, ID3_TITLE:true, PLAYLIST:true, 
